"Subject_Id"|"Activity_Id"|"acclmtr_time_domain_body_signal_x_axis_mean"|"acclmtr_time_domain_body_signal_y_axis_mean"|"acclmtr_time_domain_body_signal_z_axis_mean"|"acclmtr_time_domain_body_signal_x_axis_stddev"|"acclmtr_time_domain_body_signal_y_axis_stddev"|"acclmtr_time_domain_body_signal_z_axis_stddev"|"acclmtr_time_domain_gravity_signal_x_axis_mean"|"acclmtr_time_domain_gravity_signal_y_axis_mean"|"acclmtr_time_domain_gravity_signal_z_axis_mean"|"acclmtr_time_domain_gravity_signal_x_axis_stddev"|"acclmtr_time_domain_gravity_signal_y_axis_stddev"|"acclmtr_time_domain_gravity_signal_z_axis_stddev"|"acclmtr_time_domain_jerk_signal_x_axis_mean"|"acclmtr_time_domain_jerk_signal_y_axis_mean"|"acclmtr_time_domain_jerk_signal_z_axis_mean"|"acclmtr_time_domain_jerk_signal_x_axis_stddev"|"acclmtr_time_domain_jerk_signal_y_axis_stddev"|"acclmtr_time_domain_jerk_signal_z_axis_stddev"|"gyroscope_time_domain_body_signal_x_axis_mean"|"gyroscope_time_domain_body_signal_y_axis_mean"|"gyroscope_time_domain_body_signal_z_axis_mean"|"gyroscope_time_domain_body_signal_x_axis_stddev"|"gyroscope_time_domain_body_signal_y_axis_stddev"|"gyroscope_time_domain_body_signal_z_axis_stddev"|"gyroscope_time_domain_jerk_signal_x_axis_mean"|"gyroscope_time_domain_jerk_signal_y_axis_mean"|"gyroscope_time_domain_jerk_signal_z_axis_mean"|"gyroscope_time_domain_jerk_signal_x_axis_stddev"|"gyroscope_time_domain_jerk_signal_y_axis_stddev"|"gyroscope_time_domain_jerk_signal_z_axis_stddev"|"acclmtr_time_domain_body_signal_magnitude_mean"|"acclmtr_time_domain_body_signal_magnitude_stddev"|"acclmtr_time_domain_gravity_signal_magnitude_mean"|"acclmtr_time_domain_gravity_signal_magnitude_stddev"|"acclmtr_time_domain_jerk_signal_magnitude_mean"|"acclmtr_time_domain_jerk_signal_magnitude_stddev"|"gyroscope_time_domain_body_signal_magnitude_mean"|"gyroscope_time_domain_body_signal_magnitude_stddev"|"gyroscope_time_domain_jerk_signal_magnitude_mean"|"gyroscope_time_domain_jerk_signal_magnitude_stddev"|"acclmtr_frqncy_domain_body_signal_x_axis_mean"|"acclmtr_frqncy_domain_body_signal_y_axis_mean"|"acclmtr_frqncy_domain_body_signal_z_axis_mean"|"acclmtr_frqncy_domain_body_signal_x_axis_stddev"|"acclmtr_frqncy_domain_body_signal_y_axis_stddev"|"acclmtr_frqncy_domain_body_signal_z_axis_stddev"|"acclmtr_frqncy_domain_jerk_signal_x_axis_mean"|"acclmtr_frqncy_domain_jerk_signal_y_axis_mean"|"acclmtr_frqncy_domain_jerk_signal_z_axis_mean"|"acclmtr_frqncy_domain_jerk_signal_x_axis_stddev"|"acclmtr_frqncy_domain_jerk_signal_y_axis_stddev"|"acclmtr_frqncy_domain_jerk_signal_z_axis_stddev"|"gyroscope_frqncy_domain_body_signal_x_axis_mean"|"gyroscope_frqncy_domain_body_signal_y_axis_mean"|"gyroscope_frqncy_domain_body_signal_z_axis_mean"|"gyroscope_frqncy_domain_body_signal_x_axis_stddev"|"gyroscope_frqncy_domain_body_signal_y_axis_stddev"|"gyroscope_frqncy_domain_body_signal_z_axis_stddev"|"acclmtr_frqncy_domain_body_signal_magnitude_mean"|"acclmtr_frqncy_domain_body_signal_magnitude_stddev"|"acclmtr_frqncy_domain_jerk_signal_magnitude_mean"|"acclmtr_frqncy_domain_jerk_signal_magnitude_stddev"|"gyroscope_frqncy_domain_body_signal_magnitude_mean"|"gyroscope_frqncy_domain_body_signal_magnitude_stddev"|"gyroscope_frqncy_domain_jerk_signal_magnitude_mean"|"gyroscope_frqncy_domain_jerk_signal_magnitude_stddev"
"1"|1|"LAYING"|0.2216|-0.040514|-0.1132|-0.92806|-0.83683|-0.82606|-0.24888|0.70555|0.44582|-0.89683|-0.90772|-0.85237|0.081087|0.0038382|0.010834|-0.95848|-0.92415|-0.95486|-0.016553|-0.064486|0.14869|-0.87354|-0.95109|-0.90828|-0.10727|-0.041517|-0.07405|-0.91861|-0.96791|-0.95779|-0.84193|-0.79514|-0.84193|-0.79514|-0.9544|-0.92825|-0.87476|-0.81901|-0.96346|-0.93584|-0.9391|-0.86707|-0.88267|-0.92444|-0.83363|-0.81289|-0.95707|-0.92246|-0.94806|-0.96416|-0.93222|-0.96059|-0.85025|-0.95219|-0.9093|-0.8823|-0.95123|-0.91658|-0.86177|-0.7983|-0.9333|-0.9218|-0.86219|-0.82432|-0.94237|-0.93266
"2"|1|"SITTING"|0.26124|-0.0013083|-0.10454|-0.97723|-0.92262|-0.93959|0.83151|0.20441|0.33204|-0.96846|-0.93552|-0.94904|0.077483|-0.0006191|-0.0033678|-0.98643|-0.98137|-0.98791|-0.04535|-0.091924|0.062931|-0.97721|-0.96647|-0.94143|-0.093679|-0.040212|-0.046703|-0.99173|-0.98952|-0.98794|-0.94854|-0.92708|-0.94854|-0.92708|-0.98736|-0.98412|-0.93089|-0.93453|-0.99198|-0.98831|-0.97964|-0.94408|-0.95918|-0.97641|-0.91728|-0.93447|-0.9866|-0.98158|-0.98605|-0.98749|-0.98251|-0.98834|-0.97616|-0.97584|-0.95132|-0.9779|-0.96235|-0.94392|-0.94778|-0.92844|-0.98526|-0.98161|-0.95844|-0.9322|-0.9898|-0.98705
"3"|1|"STANDING"|0.27892|-0.016138|-0.1106|-0.99576|-0.97319|-0.97978|0.94295|-0.27298|0.013491|-0.99376|-0.98123|-0.97632|0.075377|0.0079757|-0.0036852|-0.9946|-0.98565|-0.99225|-0.023988|-0.059397|0.074801|-0.98719|-0.98773|-0.98065|-0.099609|-0.044063|-0.048951|-0.99295|-0.99514|-0.99211|-0.98428|-0.98194|-0.98428|-0.98194|-0.99237|-0.9931|-0.97649|-0.97869|-0.99497|-0.99473|-0.99525|-0.97707|-0.9853|-0.99603|-0.97229|-0.97794|-0.99463|-0.98542|-0.99075|-0.99507|-0.98702|-0.99235|-0.98639|-0.98898|-0.98077|-0.9875|-0.98711|-0.98235|-0.98536|-0.98231|-0.99254|-0.99254|-0.98462|-0.97847|-0.99482|-0.99467
"4"|1|"WALKING"|0.27733|-0.017384|-0.11115|-0.28374|0.11446|-0.26003|0.93522|-0.28217|-0.068103|-0.97661|-0.97131|-0.94772|0.074042|0.028272|-0.0041684|-0.11362|0.067003|-0.5027|-0.041831|-0.06953|0.084945|-0.47354|-0.054608|-0.34427|-0.089998|-0.039843|-0.046131|-0.20742|-0.30447|-0.40426|-0.13697|-0.21969|-0.13697|-0.21969|-0.14143|-0.074472|-0.16098|-0.18698|-0.2987|-0.32532|-0.20279|0.089713|-0.33156|-0.31913|0.05604|-0.27969|-0.17055|-0.035226|-0.469|-0.13359|0.10674|-0.53471|-0.33903|-0.10306|-0.25594|-0.51669|-0.033508|-0.43656|-0.12862|-0.39803|-0.057119|-0.10349|-0.19925|-0.32102|-0.31931|-0.3816
"5"|1|"WALKING_DOWNSTAIRS"|0.28919|-0.0099185|-0.10757|0.030035|-0.031936|-0.23043|0.93187|-0.26661|-0.06212|-0.95056|-0.93702|-0.89594|0.054155|0.02965|-0.010972|-0.012284|-0.1016|-0.34574|-0.035078|-0.090937|0.090085|-0.45803|-0.12635|-0.1247|-0.073959|-0.04399|-0.027046|-0.48703|-0.23882|-0.26876|0.027188|0.019884|0.027188|0.019884|-0.089447|-0.025788|-0.075741|-0.22572|-0.29546|-0.30651|0.038229|0.0015499|-0.22557|0.024331|-0.11296|-0.29793|-0.027664|-0.12867|-0.28833|-0.086328|-0.13458|-0.40172|-0.35245|-0.055702|-0.031869|-0.49542|-0.18141|-0.23844|0.096585|-0.18653|0.026218|-0.10405|-0.18572|-0.39835|-0.28196|-0.39192
"6"|1|"WALKING_UPSTAIRS"|0.25546|-0.023953|-0.097302|-0.35471|-0.0023203|-0.019479|0.89335|-0.36215|-0.075403|-0.95637|-0.95285|-0.91238|0.10137|0.019486|-0.045563|-0.44684|-0.37827|-0.70659|0.050549|-0.16617|0.05836|-0.54487|0.0041052|-0.50717|-0.12223|-0.042149|-0.040713|-0.61479|-0.6017|-0.60633|-0.12993|-0.32497|-0.12993|-0.32497|-0.4665|-0.47899|-0.12674|-0.14862|-0.59488|-0.64855|-0.40432|-0.19098|-0.43335|-0.33743|0.02177|0.085957|-0.47988|-0.41344|-0.68547|-0.46191|-0.38178|-0.72604|-0.49261|-0.31947|-0.4536|-0.56589|0.15154|-0.57171|-0.3524|-0.41626|-0.44265|-0.53306|-0.32596|-0.18299|-0.63467|-0.69393
"7"|2|"LAYING"|0.28137|-0.018159|-0.10725|-0.97406|-0.98028|-0.98423|-0.50975|0.75254|0.64683|-0.95901|-0.98821|-0.98423|0.082597|0.012255|-0.0018026|-0.98587|-0.98317|-0.98844|-0.018477|-0.1118|0.14488|-0.98828|-0.98229|-0.96031|-0.10197|-0.035859|-0.070178|-0.99324|-0.98957|-0.98804|-0.97744|-0.97287|-0.97744|-0.97287|-0.98774|-0.98552|-0.95001|-0.96116|-0.99177|-0.98972|-0.97673|-0.9798|-0.98438|-0.97325|-0.98103|-0.98479|-0.98581|-0.98277|-0.9862|-0.98725|-0.98499|-0.98935|-0.98643|-0.98332|-0.96267|-0.98886|-0.98191|-0.96317|-0.97511|-0.97512|-0.98537|-0.98457|-0.97211|-0.9611|-0.99025|-0.98949
"8"|2|"SITTING"|0.27709|-0.015688|-0.10922|-0.98682|-0.9507|-0.95983|0.94048|-0.10563|0.19873|-0.97999|-0.95675|-0.95442|0.072256|0.011695|0.0076055|-0.98806|-0.97798|-0.98752|-0.045471|-0.059929|0.041228|-0.98574|-0.97892|-0.9598|-0.093633|-0.04156|-0.043585|-0.98971|-0.99089|-0.98554|-0.96789|-0.95308|-0.96789|-0.95308|-0.98677|-0.98448|-0.94604|-0.96131|-0.99108|-0.98959|-0.9858|-0.95734|-0.97016|-0.98736|-0.95007|-0.95686|-0.98785|-0.97714|-0.98513|-0.98946|-0.9808|-0.98857|-0.98262|-0.9821|-0.95981|-0.98681|-0.97736|-0.96352|-0.96127|-0.95558|-0.98387|-0.98412|-0.97184|-0.96139|-0.98986|-0.98963
"9"|2|"STANDING"|0.27791|-0.018421|-0.10591|-0.98727|-0.9573|-0.94974|0.89693|-0.37006|0.12975|-0.98669|-0.97419|-0.94593|0.074759|0.010329|-0.0083716|-0.98109|-0.97106|-0.98284|-0.023862|-0.08204|0.087835|-0.973|-0.97144|-0.96486|-0.10556|-0.042242|-0.054654|-0.97932|-0.98345|-0.97361|-0.96588|-0.95787|-0.96588|-0.95787|-0.98049|-0.97668|-0.96347|-0.95394|-0.98395|-0.9772|-0.98395|-0.95987|-0.96247|-0.98906|-0.95791|-0.94643|-0.98097|-0.97085|-0.97978|-0.98301|-0.97352|-0.9846|-0.96704|-0.97258|-0.96063|-0.97499|-0.97104|-0.96975|-0.96405|-0.96052|-0.97707|-0.97516|-0.96178|-0.95679|-0.97785|-0.97775
"10"|2|"WALKING"|0.27643|-0.018595|-0.1055|-0.42364|-0.078091|-0.42526|0.91302|-0.34661|0.084727|-0.97269|-0.97212|-0.97207|0.061808|0.018249|0.0078953|-0.27753|-0.016602|-0.58609|-0.053026|-0.048238|0.082834|-0.56155|-0.53845|-0.48109|-0.081883|-0.05383|-0.051494|-0.38955|-0.63414|-0.43549|-0.29041|-0.42254|-0.29041|-0.42254|-0.28142|-0.16415|-0.44655|-0.55302|-0.54791|-0.5578|-0.34605|-0.021905|-0.45381|-0.45765|-0.16922|-0.45522|-0.30462|-0.078764|-0.55496|-0.31431|-0.015333|-0.6159|-0.42971|-0.55477|-0.39666|-0.60405|-0.53305|-0.55986|-0.32429|-0.57711|-0.16906|-0.16409|-0.5307|-0.65179|-0.58325|-0.5581
